"market","address","floor","city","state","postal","status","LATA","NPA","NXX","CLLI","SWCLLI","type","entranece","latitude","longitude","vcoordinate","hoordinate"
"Warren, PA","122A Whites Corn S Rd","","Columbus","PA","16405","Fiber Only","924","814","663","CORRPA1G","CRRYPAXC","ILA","Dual","41.9301520","-79.5822520","5311.10","2305.90"
"Beckley, WV","200 Woodlawn Ave","","Beckley","WV","25801","On-Net","254","304","252","BCKLWVWD","BCKLWVWD","ILEC Central Office","Linear","37.7755487","-81.1901023","6218.10","2043.20"
"Cleveland-Elyria-Mentor, OH","1301 E 9th St","","Cleveland","OH","44114","On-Net","320","216","771","CLEVOHBG","CLEVOH62","Office","Linear","41.5049010","-81.6893100","5573.80","2544.80"
"Morgantown, WV","237 Hartman Run Rd","","Morgantown","WV","26505","On-Net","256","304","284","MGTWWVCA","SNCRWVCL","Zayo POP","Dual","39.6344530","-79.9262440","5760.90","2078.70"
"Dayton, OH","130 W 2nd St","","Dayton","OH","45402","On-Net","328","937","222","DYTNOH1A","DYTNOH22","Zayo POP","Linear","39.7603153","-84.1950390","6112.10","2704.20"
"Columbus, OH","22921 Reed Rd","","Marysville","OH","43040","On-Net","923","937","246","MRSLOH1E","MYVIOHXA","ILA","Dual","40.3343285","-83.4271794","5939.80","2657.00"
"Columbus, OH","226 N 5th St","Ste 100","Columbus","OH","43215","On-Net Restricted","324","614","469","CLMDOH44","CLMBOH11","Carrier POP","Dual","39.9676550","-82.9954030","5971.30","2554.10"
"Clarksburg, WV","428 W Main St","","Clarksburg","WV","26301","On-Net","256","304","624","CLBGWVMA","CLBGWVMA","ILEC Central Office","Dual","39.2797397","-80.3413531","5863.70","2095.70"
"Hagerstown-Martinsburg, MD-WV","1265 Maryland Ave","","Hagerstown","MD","21740","Fiber Only","240","301","791","HGTWMD1E","HGTWMDHG","Carrier POP","","39.6166620","-77.7394210","5560.70","1770.40"
"Wooster, OH","224 E Liberty St","","Wooster","OH","44691","On-Net","923","330","236","WSTROHXA","WSTROHXA","ILEC Central Office","Dual","40.7984965","-81.9379787","5725.80","2498.10"
"Columbus, OH","428 Reynolds Ave","","Columbus","OH","43201","On-Net","324","614","298","CLMCOH0B","CLMBOH29","ILA","Dual","39.9810750","-82.9926660","5968.50","2555.20"
"Unspecified, OR","72648 China Hollow Rd","","Rufus","OR","97050","On-Net","672","541","739","RUFSORJD","RUFSORXA","ILA","Dual","45.6764430","-120.7372920","6738.60","8622.60"
"Minneapolis-St. Paul-Bloomington, MN-WI","331 2nd Ave S","1st Floor","Minneapolis","MN","55401","Fiber Only","628","612","973","MPLSMNMS","MPLSMNDT","Carrier POP","Linear","44.9786989","-93.2667003","5780.30","4525.80"
"Portland-Vancouver-Hillsboro, OR-WA","651 E Cascade Dr","1","North Bonneville","WA","98639","On-Net","672","509","427","NBVLWAHT","WSRVWAXA","ILA","Dual","45.6476620","-121.9604610","6762.60","8808.00"
"Lima, OH","1620 N Sugar St","MMR","Lima","OH","45801","On-Net","923","419","988","LIMAOHDZ","LIMAOHXA","Zayo POP","Dual","40.7623945","-84.0886968","5915.30","2798.90"
"Unspecified, WV","69 Substation Dr","","Ravenswood","WV","26164","On-Net","254","304","273","RVWDWV1E","RVWDWVSY","Zayo POP","Dual","38.9366930","-81.7350570","6052.40","2255.70"
"Cleveland-Elyria-Mentor, OH","1621 Euclid Ave","5th Floor","Cleveland","OH","44115","On-Net Restricted","320","216","204","CLEVOHIB","CLEVOH62","Carrier POP","Dual","41.5013278","-81.6804575","5573.70","2543.20"
"United Kingdom, GBR","80 Clifton St","Ground/Comm/ODF/Cab D7","London","","EC2A 4HB","On-Net","","","","LONDEN10","","Neutral Data Center","Diverse","51.5230120","-0.0829420","",""
"Johnstown, PA","1003 Broad St Bldg D","Bldg C","Johnstown","PA","15906","Fiber Only","230","814","536","JHTWPAIL","JHTWPAXJ","Earth Station/Satellite Farm/Uplink Facility","Dual","40.3424310","-78.9346030","5541.00","2025.00"
"Pittsburgh, PA","165 Youngblood Rd","","Zelienople","PA","16063","On-Net Restricted","234","724","452","ZLNPPA0A","ZLNPPAZE","Carrier POP","","40.7906710","-80.1144000","5566.50","2242.40"
"Johnstown, PA","1003 Broad St Bldg D","Bldg D","Johnstown","PA","15906","On-Net","230","814","536","JHTWPAIL","JHTWPAXJ","Zayo POP","Dual","40.3424310","-78.9346030","5541.00","2025.00"
"Lebanon, PA","1670 Grace Ave","","Lebanon","PA","17046","On-Net","226","717","272","LBBNPA1G","LBNNPAES","Carrier POP","Dual","40.3748220","-76.4366130","5300.30","1686.40"
"Youngstown-Warren-Boardman, OH-PA","1 W Federal St","13th Flr","Youngstown","OH","44503","On-Net","322","330","742","YNTWOHID","YNTWOH74","Carrier POP","Dual","41.1001980","-80.6504770","5557.50","2353.40"
"Cleveland-Elyria-Mentor, OH","1625 Rockwell Ave","5th Floor","Cleveland","OH","44114","Fiber Only","320","216","204","CLEYOH0Q","CLEVOH62","Carrier POP","Dual","41.5064310","-81.6831890","5573.00","2544.20"
"Columbus, OH","1 Riverside Plz","Basement telco room","Columbus","OH","43215","On-Net","324","614","228","CLMBOH1E","CLMBOH11","Private Data Center","Dual","39.9649730","-83.0055600","5972.60","2555.20"
"DuBois, PA","164 Power Plant Dr","","Woodland","PA","16881","On-Net","230","814","765","CLFDPABK","CLFDPACL","ILA","Dual","41.0664440","-78.3681200","5357.70","2035.50"
"United Kingdom, GBR","47 Millharbour","1st/MMR1/ODF","London","","E14 9TR","On-Net Restricted","","","","LONDENDE","","Neutral Data Center","Diverse","51.4968567","-0.0188127","",""
"Columbus, OH","10605 Blue Jay Rd","","Heath","OH","43056","On-Net","324","740","349","NWRKOHCM","NWRKOHXD","Zayo POP","Dual","40.0181880","-82.3414020","5905.40","2466.20"
"Columbus, OH","180 E Broad St","Ste 505","Columbus","OH","43215","On-Net","324","614","221","CLMBOH0A","CLMBOH11","Carrier POP","Dual","39.9632140","-82.9956160","5972.10","2553.60"
"Fort Wayne, IN","110 E Wayne St","","Fort Wayne","IN","46802","On-Net","334","260","425","FTWYINHJ","FTWYINXA","Zayo POP","Linear","41.0785537","-85.1389077","5942.20","2983.50"
"Lima, OH","1800 N Sugar St","","Lima","OH","45801","On-Net","923","419","224","LIMAOHIB","LIMAOHXA","Carrier POP","Dual","40.7646090","-84.0892130","5914.90","2799.20"
"Wheeling, WV-OH","1025 Main St","Suite 810","Wheeling","WV","26003","On-Net","256","304","232","WLNGWVBG","WDDLWVPR","Zayo POP","Dual","40.0698170","-80.7248510","5753.20","2242.80"
"Huntington-Ashland, WV-KY-OH","1706 Carter Ave","","Ashland","KY","41101","On-Net","466","606","327","ASLDKYGK","ASLDKYXA","Zayo POP","Dual","38.4766320","-82.6388990","6218.00","2335.10"
"Harrisonburg, VA","105 Newman Ave","","Harrisonburg","VA","22801","On-Net","927","540","432","HRBGVAXA","HRBGVAXA","ILEC Central Office","Dual","38.4476850","-78.8678240","5879.30","1786.70"
"Pittsburgh, PA","18 Abele Rd","Building 1","Bridgeville","PA","15017","On-Net","234","412","257","BGVLPAAM","BGVLPABR","Mobile Service Center","Dual","40.3517030","-80.1263090","5647.80","2192.00"
"Reading, PA","5400 Leesport Ave","","Temple","PA","19560","On-Net","228","610","929","TMPLPA1G","LRDLPALB","ILA","Dual","40.4167430","-75.9267250","5243.80","1622.70"
"Fort Wayne, IN","5310 W Washington Center Rd","","Fort Wayne","IN","46818","On-Net","334","260","490","FTWZINDW","FTWYINXB","Carrier POP","Linear","41.1321540","-85.2109415","5937.50","2998.60"
"Canton-Massillon, OH","301 Cleveland Ave SW","","Canton","OH","44702","On-Net","325","330","456","CNTNOHCS","CNTNOH45","Zayo POP","","40.7971960","-81.3775700","5677.20","2419.30"
"Roanoke, VA","626 2nd St SW","","Roanoke","VA","24011","On-Net","244","540","985","RONKVA50","RONKVALK","Zayo POP","Dual","37.2681820","-79.9433330","6196.20","1801.70"
"Akron, OH","30 N High St","Ste 101","Akron","OH","44308","On-Net","325","330","253","AKROOHIY","AKRNOH25","Zayo POP","Dual","41.0851470","-81.5157640","5636.20","2472.10"
"Huntington-Ashland, WV-KY-OH","555 5th Ave","","Huntington","WV","25701","On-Net","254","304","523","HNTNWV1P","HNTNWVDT","Office","Dual","38.4183234","-82.4493710","6212.10","2300.80"
"Harrisburg-Carlisle, PA","301 Chestnut St","1st Floor","Harrisburg","PA","17101","On-Net","226","717","234","HRBGPACT","HRBGPAHA","Carrier POP","Dual","40.2598540","-76.8786630","5363.20","1732.10"
"Chillicothe, OH","701 Hardin Dr","","Chillicothe","OH","45601","On-Net","324","740","774","CHLCOH1E","CHLCOHXA","ILA","Dual","39.3415350","-82.9617200","6085.00","2479.00"
"Bloomington, IN","301 N Washington St","","Bloomington","IN","47408","On-Net","338","812","271","BLTNIN01","BLTNIN01","ILEC Central Office","Linear","39.1690126","-86.5327590","6416.90","2984.50"
"Clarksburg, WV","7 Armory Rd","","Clarksburg","WV","26301","On-Net","256","304","622","CLBGWVCP","CLBGWVMA","Carrier POP","Dual","39.2658770","-80.3655950","5868.50","2097.50"
"Columbus, OH","3051 S Section Line Rd","","Delaware","OH","43015","On-Net","324","740","369","DLWROHAC","DLWROHXA","Carrier POP","Linear","40.2671700","-83.1290140","5926.90","2606.80"
"Indianapolis-Carmel, IN","701 W Henry St","301","Indianapolis","IN","46225","Fiber Only","336","317","634","IPLWIN75","IPLSIN01","Carrier POP","Linear","39.7596300","-86.1709710","6275.30","2992.80"
"Charleston, WV","301 Virginia St E","","Charleston","WV","25301","On-Net","254","304","348","CHTNWVCE","CHTNWVLE","Local/State Government","Dual","38.3520550","-81.6399170","6152.20","2175.00"
"Indianapolis-Carmel, IN","701 W Henry St","201","Indianapolis","IN","46225","On-Net","336","317","634","IPLWIN75","IPLSIN01","Neutral Data Center","Dual","39.7596300","-86.1709710","6275.30","2992.80"
"Pittsburgh, PA","3126 Liberty Ave","","Pittsburgh","PA","15201","On-Net","234","412","471","PITBPALA","PITBPAOK","Carrier POP","Dual","40.4594180","-79.9700720","5614.00","2183.00"
"Lynchburg, VA","706 Church St","","Lynchburg","VA","24504","On-Net","250","434","522","LYBGVACH","LYBGVACH","ILEC Central Office","Dual","37.4158600","-79.1442907","6093.70","1702.80"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","306 N Royal Ave","","Front Royal","VA","22630","On-Net","246","540","636","FRRYVAXA","FRRYVAXA","ILEC Central Office","Dual","38.9228250","-78.1943130","5729.20","1748.80"
"Bluefield, WV-VA","704 Bland St","1st","Bluefield","WV","24701","On-Net","932","304","327","BLFDWVYW","BLFDWVXA","Zayo POP","Linear","37.2666370","-81.2220760","6315.10","1989.40"
"Portsmouth, OH","329 Carver Ridge Rd","Zayo FDP","Portsmouth","OH","45662","On-Net","324","412","456","NPTMOH1E","NBTNOHXA","Zayo POP","Dual","38.8004570","-82.9417620","6184.20","2415.60"
"Indianapolis-Carmel, IN","720 Kentucky Ave","","Indianapolis","IN","46225","Fiber Only","336","317","472","IPLWIN0B","IPLSIN01","Carrier POP","Linear","39.7588565","-86.1718087","6275.60","2992.80"
"United Kingdom, GBR","101 Finsbury Pavement","Ground Floor/DDF4/ODF","London","","EC2A 1RS","On-Net Restricted","","","","LONDENGM","","Office","Linear","51.5197920","-0.0878010","",""
"Anderson, IN","3200 Pendleton Ave","","Anderson","IN","46013","On-Net","336","765","644","ARSNINIS","ARSNIN01","Carrier POP","","40.0830390","-85.7019290","6176.00","2958.30"
"Terre Haute, IN","711 Poplar St","","Terre Haute","IN","47807","On-Net","938","812","235","TRRHINXA","TRRHINXA","ILEC Central Office","Linear","39.4627099","-87.4061402","6430.90","3144.60"
"Unspecified, PA","746 E Market St","","Punxsutawney","PA","15767","On-Net","230","814","256","TMBLPAFE","PUNXPAPU","ILA","Dual","40.9656200","-79.1851880","5450.70","2135.10"
"Muncie, IN","329 E Jackson St","","Muncie","IN","47305","On-Net","336","765","213","MUNCIN01","MUNCIN01","ILEC Central Office","Dual","40.1925015","-85.3831262","6129.30","2923.60"
"Indianapolis-Carmel, IN","733 W Henry St","Ste 100","Indianapolis","IN","46225","Fiber Only","336","317","806","IPLVINEA","IPLSIN01","Neutral Data Center","Linear","39.7597100","-86.1722950","6275.40","2993.00"
"Cincinnati-Middletown, OH-KY-IN","334 Gest St","Ste 100","Cincinnati","OH","45203","On-Net","922","513","333","CNCNOH1A","CNCNOHWS","zColo Facility","Dual","39.0977770","-84.5251860","6264.40","2680.30"
"Cincinnati-Middletown, OH-KY-IN","344 Gest St","Ste C","Cincinnati","OH","45203","Fiber Only","922","513","333","CNCNOHRE","CNCNOHWS","Carrier POP","Dual","39.0977770","-84.5251860","6264.40","2680.30"
"Marion, OH","755 Fountain St","1","Marion","OH","43302","On-Net","324","740","389","MARNOH0Q","MARNOHXC","ILA","Dual","40.6012380","-83.1545050","5866.80","2647.90"
"Portsmouth, OH","1315 Albert St","","Portsmouth","OH","45662","On-Net","324","740","353","PTMOOHXA","NBTNOHXA","ILEC Central Office","Linear","38.7438970","-82.9873419","6198.70","2416.00"
"State College, PA","441 Science Park Rd","First Floor","State College","PA","16803","On-Net","230","814","238","STCGPA1G","STCGPAES","Carrier POP","Linear","40.7841580","-77.8991520","5365.20","1936.70"
"New Castle, PA","2381 Rte-18 S","00","Wampum","PA","16157","On-Net","234","724","758","WMPMPAAG","WMPMPAWA","ILA","","40.8676730","-80.3298580","5571.60","2281.50"
"Marion, IN","4504 S Lincoln Blvd","","Marion","IN","46953","On-Net","336","765","677","MARNINBP","MARNIN03","ILA","Dual","40.5161550","-85.6414610","6089.20","2995.60"
"United Kingdom, GBR","11 Hanbury St","3rd Fl/VANCO/ODF","London","","E1 6QR","On-Net","","","","LONDENKE","","Neutral Data Center","","51.5215900","-0.0731200","",""
"Columbus, OH","240 N 5th St","3rd Floor","Columbus","OH","43215","Fiber Only","324","614","469","CLMCOH0N","CLMBOH11","Carrier POP","Dual","39.9681240","-82.9955160","5971.20","2554.10"
"Erie, PA","451 W 12th St","","Erie","PA","16501","On-Net","924","814","456","ERIEPA90","ERIEPAXM","Zayo POP","Dual","42.1194880","-80.0909450","5321.70","2397.70"
"Mansfield, OH","25 S Mulberry St","","Mansfield","OH","44902","On-Net","923","419","526","MNFDOHXA","MNFDOHXA","ILEC Central Office","Linear","40.7577534","-82.5180312","5783.30","2575.30"
"Coshocton, OH","47201 County Road 273","","Conesville","OH","43811","On-Net","324","740","623","FKLNOH28","CNSVOH82","ILA","","40.1825890","-81.8800770","5834.70","2419.30"
"Columbus, OH","251 Neilston St","Ste 200","Columbus","OH","43215","Fiber Only","324","614","224","CLMCOH35","CLMBOH11","Carrier POP","Dual","39.9681690","-82.9948870","5971.10","2554.10"
"Wheeling, WV-OH","47400 Watson Rd","","Saint Clairsville","OH","43950","On-Net Restricted","324","740","699","SCVLOH0A","SCVIOH69","Mobile Service Center","Dual","40.0825880","-80.9342020","5769.60","2273.80"
"Atlanta-Sandy Springs-Marietta, GA","1776 Briarcliff Rd NE","Pole Antenna","Atlanta","GA","30306","Stubbed","438","","","ATLMGAJV","ATLNGAPP","Small Cell","Linear","33.8040240","-84.3382780","7245.90","2082.00"
"Columbus, OH","251 Neilston St","1st Floor","Columbus","OH","43215","On-Net","324","614","224","CLMCOH35","CLMBOH11","zColo Facility","Dual","39.9681690","-82.9948870","5971.10","2554.10"
"Zanesville, OH","480 Shinnick St","","South Zanesville","OH","43701","On-Net","324","740","454","ZNVLOH03","ZNVLOH45","Zayo POP","Dual","39.9438970","-82.0083530","5890.10","2410.20"
"Morgantown, WV","254 Scott Ave","","Morgantown","WV","26508","On-Net","256","304","284","WTRNWV03","MGTWWVFY","Mobile Service Center","Dual","39.5869920","-79.9640070","5773.00","2078.40"
"Warren, PA","108 East St","","Warren","PA","16365","On-Net","230","814","706","WRRNPAWA","WRRNPAWA","ILEC Central Office","Dual","41.8435693","-79.1429054","5287.50","2235.80"
"Pittsburgh, PA","259 E Crawford Ave","","Connellsville","PA","15425","On-Net","234","724","626","CNLVPA0A","CNLVPACO","Earth Station/Satellite Farm/Uplink Facility","Dual","40.0190990","-79.5846210","5659.40","2076.60"
"Akron, OH","50 W Bowery St","","Akron","OH","44308","On-Net","325","330","252","AKRNOH25","AKRNOH25","ILEC Central Office","Dual","41.0813290","-81.5207810","5637.30","2472.30"
"Columbus, OH","266 N 5th St","","Columbus","OH","43215","Fiber Only","324","614","469","CLMCOH0I","CLMBOH11","Carrier POP","Dual","39.9683788","-82.9955681","5971.00","2554.30"
"Charleston, WV","500 Summers St","","Charleston","WV","25301","On-Net","254","304","343","CHTNWV0A","CHTNWVLE","Carrier POP","Linear","38.3527260","-81.6309940","6151.20","2173.80"
"Atlanta-Sandy Springs-Marietta, GA","375 Riverside Pkwy","Ste 150","Lithia Springs","GA","30122","On-Net","438","","","LTSPGA02","ASTLGAMA","Neutral Data Center","Dual","33.7442650","-84.5814270","7279.60","2114.60"
"Wooster, OH","2795 Varian Rd","Unknown MPOE","Wooster","OH","44691","On-Net Restricted","923","330","262","WSTROH0C","WSTROHXA","Mobile Service Center","Linear","40.8006440","-81.9088420","5722.90","2494.30"
"Muncie, IN","5000 N Wheeling Ave","","Muncie","IN","47304","Fiber Only","336","765","213","MUNCIN1E","MUNCIN01","Carrier POP","","40.2350930","-85.4106350","6123.50","2932.10"
"St. Marys, PA","283 Dutchland Rd","","Ridgway","PA","15853","Fiber Only","230","814","776","FORSPA1G","RGWYPAXR","ILA","Dual","41.4373480","-78.7316880","5323.90","2130.50"
"Pittsburgh, PA","530 N Neville St","","Pittsburgh","PA","15213","On-Net","234","412","682","PITBPAOK","PITBPAOK","ILEC Central Office","Dual","40.4495130","-79.9485790","5613.90","2178.80"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 9th St & N Brevard St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","","35.2287100","-80.8351900","6656.20","1697.80"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 7th St & N Brevard St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2267900","-80.8371600","6656.70","1697.90"
"Spokane, WA","501 W 2nd Ave","2nd Floor","Spokane","WA","99201","Fiber Only","676","509","624","SPKNWA01","SPKNWAFA","ILEC Central Office","","47.6541890","-117.4201338","6247.40","8177.10"
"Charlotte-Gastonia-Rock Hill, NC-SC","S Alexander St & E Stonewall S","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2182800","-80.8428100","6658.80","1697.80"
"Atlanta-Sandy Springs-Marietta, GA","5200 Buffington Rd","1st","Atlanta","GA","30349","Fiber Only","438","","209","ATLNGAFJ","ATLNGAEP","Office","Dual","33.6134420","-84.4893085","7295.40","2085.90"
"Charlotte-Gastonia-Rock Hill, NC-SC","E Stonewall St & S Brevard St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2205100","-80.8453500","6658.70","1698.40"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 9th St & N Davidson St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2268200","-80.8328700","6656.30","1697.30"
"Minneapolis-St. Paul-Bloomington, MN-WI","610 Opperman Dr","Main","Saint Paul","MN","55123","On-Net","628","","","EAGNMN29","EAGNMNLB","Private Data Center","","44.8289870","-93.1184020","5800.50","4490.30"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 8th St & N Alexander St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2252500","-80.8330500","6656.60","1697.10"
"Charlotte-Gastonia-Rock Hill, NC-SC","E Martin Luther King Jr Blvd & N Davidson St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","","35.2205000","-80.8422000","6658.40","1698.00"
"United Kingdom, GBR","14 Grosvenor Place","GROUND FLOOR/COMMS ROOM/ODF","London","","SW1X 7HH","Fiber Only","","","","LONHEN35","","Hotel & Inn","Linear","51.5006249","-0.1503852","",""
"Charlotte-Gastonia-Rock Hill, NC-SC","W Martin Luther King Jr & S Tryon St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2249700","-80.8467500","6658.00","1699.20"
"United Kingdom, GBR","38-76 Sussex Gdns, Wilson House","Basement/Rm 5201/ODF","London","","W2 1UF","Fiber Only","","","","LONHENMW","","College/University","Linear","51.5171588","-0.1700729","",""
"United Kingdom, GBR","6 & 7 Harbour Exchange","8th Fl, Red Bus Ste - ODF","London","","E14 9HE","On-Net Restricted","","","","LONDENEG","","Neutral Data Center","","51.4980810","-0.0144650","",""
"Charlotte-Gastonia-Rock Hill, NC-SC","E 8th St & N Caldwell St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2269100","-80.8345900","6656.50","1697.50"
"United Kingdom, GBR","6 Greenwich View Place","3rd/PSI Net Colo/ODF","London","","E14 9NN","On-Net Restricted","","","","LONDENCE","","Neutral Data Center","Diverse","51.4943400","-0.0192320","",""
"Charlotte-Gastonia-Rock Hill, NC-SC","E 3rd & S College","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2244800","-80.8444240","6657.80","1698.80"
"San Jose-Sunnyvale-Santa Clara, CA","529 Bryant St","2nd floor","Palo Alto","CA","94301","On-Net","722","","","PLALCA01","PLALCA02","Zayo POP","Linear","37.4456620","-122.1604310","8563.10","8667.30"
"United Kingdom, GBR","227 London Rd","Ground Fl/Comm Rm/ODF","London","","TW7 5AX","Fiber Only","","","","LONHENJO","","Office","Linear","51.4779950","-0.3244280","",""
"United Kingdom, GBR","70 Chancery Lane","BASEMENT / COMMS ROOM","London","","WC2A 1AF","On-Net Restricted","","","","LONHENKQ","","Office","Linear","51.5180210","-0.1135614","",""
"Charlotte-Gastonia-Rock Hill, NC-SC","E 5th St & Charlotte Trolley Trail","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2263100","-80.8397900","6657.10","1698.30"
"Charlotte-Gastonia-Rock Hill, NC-SC","W 4th & S Mint","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2285000","-80.8472100","6657.40","1699.60"
"Moses Lake, WA","2200 M St NE","Building C Telco Room","Quincy","WA","98848","Fiber Only","676","","","QNCYWACY","QNCYWAXX","Neutral Data Center","","47.2461009","-119.8156767","6379.40","8519.00"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 10th St & N Caldwell St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2291154","-80.8322969","6656.00","1697.40"
"Charlotte-Gastonia-Rock Hill, NC-SC","Levine & S Tryon","Unknown","Charlotte","NC","28285","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2241100","-80.8474300","6658.20","1699.20"
"United Kingdom, GBR","Brandon House, 180 Borough High St","1/Comm/ODF","London","","SE1 1LW","On-Net","","","","LONHEN60","","Office","Diverse","51.5015871","-0.0933018","",""
"San Jose-Sunnyvale-Santa Clara, CA","529 Bryant St","1st FL, Cage 99","Palo Alto","CA","94301","On-Net","722","","","PLALCA01","PLALCA02","Zayo POP","","37.4456620","-122.1604310","8563.10","8667.30"
"United Kingdom, GBR","7 Greenwich View Place","Ground/Main Datacentre/Rack L04","London","","E14 9NN","On-Net","","","","LONFENZE","","Enterprise","Diverse","51.4948100","-0.0191400","",""
"Charlotte-Gastonia-Rock Hill, NC-SC","E 3rd St & S Caldwell St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2218900","-80.8409800","6658.00","1697.90"
"Atlanta-Sandy Springs-Marietta, GA","Northside Dr NW & Moores Mill Rd","Pole Antenna","Atlanta","GA","30305","Stubbed","438","","","","ATLNGABU","Small Cell","Linear","33.8445299","-84.4072739","7244.40","2097.20"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 6th St & S Caldwell St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2251860","-80.8366070","6657.00","1697.70"
"Atlanta-Sandy Springs-Marietta, GA","Peachtree Rd NE & Andrews Dr NW","Pole Antenna","Atlanta","GA","30305","Stubbed","438","","","","ATLNGABU","Small Cell","Linear","33.8295998","-84.3873499","7245.40","2092.50"
"Atlanta-Sandy Springs-Marietta, GA","580 W Wesley Rd NW","Pole Antenna","Atlanta","GA","30305","Stubbed","438","","","","ATLNGABU","Small Cell","Linear","33.8281680","-84.4069109","7247.50","2095.40"
"Baltimore-Towson, MD","709 Digital Dr","1","Linthicum Heights","MD","21090","Fiber Only","238","","","LNTHMD13","FPATMDFR","Finance","Linear","39.2188840","-76.6719300","5529.90","1572.90"
"Atlanta-Sandy Springs-Marietta, GA","55 Marietta St NW","Flr 8/Suite 800","Atlanta","GA","30303","On-Net","438","404","382","ATLNGAMA","ATLNGACS","Office","Linear","33.7558370","-84.3911090","7259.70","2085.20"
"Baltimore-Towson, MD","4555 Painters Mill Rd","1","Owings Mills","MD","21117","Fiber Only","238","410","577","OWMLMDBV","OWMLMDOM","Finance","","39.3959621","-76.7853272","5509.10","1611.10"
"Toledo, OH","2414 W Sylvania Ave","","Toledo","OH","43613","On-Net","326","419","291","TOLDOH47","TOLDOH47","ILEC Central Office","Linear","41.6923610","-83.6019300","5700.90","2833.10"
"Charlotte-Gastonia-Rock Hill, NC-SC","S Clarkson St & S Cedar St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2313700","-80.8516700","6657.30","1700.60"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 3rd St & S Alexander St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2203900","-80.8393000","6658.10","1697.50"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 11th St & N Davidson St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2283500","-80.8306770","6655.80","1697.10"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","401 N Broad St","4th Floor/Suite 450","Philadelphia","PA","19108","On-Net","228","215","351","PHLAPAFG","PHLAPAMK","Carrier POP","Diverse","39.9598540","-75.1613760","5250.30","1460.60"
"Charlotte-Gastonia-Rock Hill, NC-SC","N McDowell St & E 10th St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2255280","-80.8289800","6656.20","1696.50"
"Charlotte-Gastonia-Rock Hill, NC-SC","E 4th St & S Davidson St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2225000","-80.8394900","6657.70","1697.80"
"United Kingdom, GBR","6 Greenwich View Place","1st/Cage G3B/ODF","London","","E14 9NN","On-Net","","","","LONDENCE","","Neutral Data Center","Diverse","51.4943400","-0.0192320","",""
"Charlotte-Gastonia-Rock Hill, NC-SC","S Mint St & Andrew Jackson Hwy","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2241700","-80.8523800","6658.70","1699.90"
"Charlotte-Gastonia-Rock Hill, NC-SC","W Trade St & Railroad","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2319780","-80.8484460","6656.80","1700.20"
"Charlotte-Gastonia-Rock Hill, NC-SC","N Graham St & W 4th St","Unknown","Charlotte","NC","28202","Fiber Only","","","","","CHRLNCCA","Small Cell","Linear","35.2300700","-80.8478400","6657.10","1699.90"
